Station;Type;dd/mm/yyyy;hh:mm;Latitude;Longitude;Depth (m);NO3NO2 (�M);NO2 (�M);PO4 (�M);SiOH4 (�M);NH4 (�M);Temperature (�C);dO2 %;pH;PAR;pot Temp;Density;Salinity (PSU);Chla (RFU);N2O (nM);CH4 (nM);CH4 saturation;N2O saturation
1;B;23/08/2023;13:43:00;60,97181667;-46,14183333;9,81;0,768;0,047;0,06;1,604;2,583;0,392;111,9;8,533;15,797111;4,9339;1024,1567;29,1163;3,84;;;;
1;B;23/08/2023;13:43:00;60,97181667;-46,14183333;19,87;9,303;0,096;0,728;6,268;0,085;0,5155;;8,368;1,158341;;;30,441;3,79;;;;
1;B;23/08/2023;13:43:00;60,97181667;-46,14183333;279,94;13,395;0;0,923;9,156;0,825;3,9495;;8,257;-0,017024;;;34,5434;2;;;;
1;B;23/08/2023;13:43:00;60,97181667;-46,14183333;2,88;0;0;0;3,058;0,145;3,7643;101,7;8,503;101,42555;6,1215;1022,0089;22,9;3,18;15,23;6,17;161;103
1;B;23/08/2023;13:43:00;60,97181667;-46,14183333;45,17;13,814;0;0,948;10,5;0,1;0,9587;126,2;8,309;0,062173;1,9557;1025,992;31,8636;3,66;15,41;5,50;141;98
1;B;23/08/2023;13:43:00;60,97181667;-46,14183333;45,17;9,208;0,104;0,675;5,895;0;0,9587;126,2;8,309;0,062173;1,9557;1025,992;31,8636;3,66;15,41;5,50;141;98
1;B;23/08/2023;13:43:00;60,97181667;-46,14183333;6,2;0;0;0;2,68;0,84;0,6024;103,7;8,551;51,476982;4,6592;1023,4779;28,1334;4,55;14,56;7,98;197;89
1;B;23/08/2023;13:43:00;60,97181667;-46,14183333;309,6;9,131;0,097;0,693;5,874;0,038;4,0235;92,2;8,261;-0,010362;4,0013;1028,9189;34,6025;1,62;12,75;5,14;146;93
1;B;23/08/2023;13:43:00;60,97181667;-46,14183333;85,13;3,069;0,104;0,549;2,809;0,199;0,0905;111,5;8,365;0,042929;0,9802;1026,5714;32,5198;2,51;14,90;5,81;146;92
2;B;24/08/2023;10:54:00;61,09355;-45,80858333;15,13;9,256;0,06;0,685;6,589;0,632;0,355;110,2;8,379;14,051086;0,3546;1024,0452;29,8899;2,07;15,91;5,80;144;98
