cruise;Station;type;dd/mm/yyy;hh:mm;latitude;Longitude;depth ;NO3+NO2 ;NO2 ;PO4 ;Si(OH)4  ;NO3+ ;NH4+ ;Temperature;Oxygene;pH;PAR;Salinity;Chla;Pico- and Nanophytoplankton;Synechococcus;Heterotroph prokaryotes;CH4;N2O;CH4 saturation;N2O saturation
;;;;;;;m;µM;µM;µM;µM;µM;µM;°C;mg L-1;;;PSU;RFU;cell mL-1;cell mL-2;cell mL-3;nM;nM;%;%
GF24;5;B;11/07/2024;13:10:00;61,093;-45,811;2;0,616;0,017;0,116;7,765;0,589;0,2;0,5421;11,77;8,43;177,6548;20,4944;3,42;454,932;5153,061224;396373,4694;;;;
GF24;5;B;11/07/2024;13:10:00;61,093;-45,811;5;5,401;0,054;0,459;8,641;5,465;0,38;-0,2017;12,42;8,37;73,424;27,5125;6,69;289,1156;1653,911565;204215,8163;7,91;15,36;188;91
GF24;5;B;11/07/2024;13:10:00;61,093;-45,811;15;7,821;0,046;0,608;8,362;7,957;0,54;0,1702;11,38;8,22;34,0767;29,3899;2,21;89,2857;820,5782313;152491,9643;6,41;15,22;157;92
GF24;5;B;11/07/2024;13:10:00;61,093;-45,811;25;9,922;0,039;0,74;7,697;10,12;0,35;0,7612;11,26;8,2;12,0223;30,664;2,26;21,2585;272,1088435;168213,0952;5;14,27;126;89
GF24;5;B;11/07/2024;13:10:00;61,093;-45,811;35;8,948;0,038;0,692;6,533;9,121;0,41;0,5213;11,05;8,21;2,0917;31,1552;2,05;63,7755;429,4217687;187142,0068;;;;
GF24;5;B;11/07/2024;13:10:00;61,093;-45,811;70;2,638;0,039;0,479;2,133;2,642;1,27;-0,034;12,2;8,29;0,0651;31,8461;1,95;21,2585;25,51020408;245388,7755;5,93;15,16;147;92
GF24;5;B;11/07/2024;13:10:00;61,093;-45,811;120;7,57;0,084;0,754;4,4;7,662;0,7;-0,5322;10,78;8,17;0,02;32,3334;1,85;34,0136;8,503401361;204559,3537;7,7;16,13;188;97
GF24;5;B;11/07/2024;13:10:00;61,093;-45,811;160;12,065;0,014;0,917;7,667;12,346;0,12;1,8566;9,36;8,14;-0,0155;33,2365;2,12;17,0068;0;185750,6803;;;;
GF24;5;B;11/07/2024;13:10:00;61,093;-45,811;200;12,578;0,045;0,944;7,809;12,841;0,09;3,301;9,16;8,11;-0,0244;33,8474;2,04;17,0068;17,00680272;166942,0068;5,27;15;146;106
GF24;5;B;11/07/2024;13:10:00;61,093;-45,811;310;13,58;0,004;0,957;8,274;13,909;0,11;4,6322;9,05;8,11;-0,0363;34,3873;2,2;17,0068;25,51020408;170394,5578;4,99;13,51;144;101
GF24;7;B;12/07/2024;08:59:00;61,093;-45,811;2;0;0,001;0,063;7,393;0;0,18;-0,177;10,98;8,46;101,6232;19,911;8,16;348,6395;2300,170068;215432,3129;6,45;14,03;146;79
GF24;7;B;12/07/2024;08:59:00;61,093;-45,811;6;0,309;0,023;0,15;7,331;0,268;0,19;-0,2661;11,93;8,44;13,6758;27,1211;85,16;659,0136;0;569825,5102;6,25;14,22;148;83
GF24;7;B;12/07/2024;08:59:00;61,093;-45,811;9;5,337;0,041;0,468;8,647;5,412;0,28;-0,1278;12,21;8,34;6,087;28,5955;3,27;284,8639;2704,081633;275431,1224;7,15;14,38;172;86
GF24;7;B;12/07/2024;08:59:00;61,093;-45,811;70;3,172;0,041;0,483;2,391;3,19;1,27;0,1029;11,18;8,24;-0,0178;31,8351;2,24;42,517;12,75510204;267787,415;5,72;15,16;142;93
GF24;7;B;12/07/2024;08:59:00;61,093;-45,811;120;7,9;0,082;0,749;4,712;8,003;0,63;-0,5533;10,14;8,13;-0,0377;32,254;2,24;29,7619;4,25170068;234996,7687;6,16;15,4;151;92
GF24;7;B;12/07/2024;08:59:00;61,093;-45,811;240;13,421;0,016;0,963;8,551;13,735;0,12;4,3658;8,39;8,06;-0,0696;34,2335;1,93;17,0068;4,25170068;178313,0952;;;;
GF24;10;B;13/07/2024;06:50:00;60,893;-46,485;2;0;0;0,054;2,343;0;0,07;6,3445;12,29;8,32;11,1193;24,214;4,88;1326,5306;2738,095238;351851,0204;5,97;13,3;168;100
GF24;10;B;13/07/2024;06:50:00;60,893;-46,485;9;0,129;0,003;0,136;1,526;0,103;0,27;1,0579;15,27;8,37;1,4662;29,2036;17,16;1381,8027;1683,673469;451150,5102;6,42;14,55;161;91
GF24;10;B;13/07/2024;06:50:00;60,893;-46,485;15;0;0;0,085;0,466;0;0,06;1,5984;13,86;8,29;0,5337;29,867;6,21;2385,2041;2380,952381;308462,2449;8,02;15,45;205;99
GF24;10;B;13/07/2024;06:50:00;60,893;-46,485;25;2,841;0,036;0,411;3,071;2,855;0,53;0,2228;12,89;8,24;0,1303;30,584;3,61;229,5918;1033,163265;349171,4286;5,54;16,46;137;101
GF24;10;B;13/07/2024;06:50:00;60,893;-46,485;50;0,638;0,013;0,504;1,47;0,669;1,4;-0,3883;12,81;8,25;0,0266;31,5299;2,03;123,2993;12,75510204;235958,6735;;;;
GF24;10;B;13/07/2024;06:50:00;60,893;-46,485;120;9,417;0,056;0,916;5,987;9,392;0,44;-0,415;11,14;8,13;-0,0052;32,399;1,68;17,0068;0;161342,3469;;;;
GF24;10;B;13/07/2024;06:50:00;60,893;-46,485;160;11,775;0,049;1,001;7,528;11,755;0,19;1,545;9,93;8,1;-0,0274;33,1959;2,06;8,5034;0;170789,6259;;;;
GF24;10;B;13/07/2024;06:50:00;60,893;-46,485;210;12,109;0,16;0,962;7,215;11,97;0,28;3,0381;10,01;8,1;-0,0215;33,8599;2,15;102,0408;12,75510204;208406,9728;4,92;14,25;135;99
GF24;10;B;13/07/2024;06:50:00;60,893;-46,485;300;13,963;0,008;1,033;8,426;13,985;0,09;4,6217;9,4;8,07;-0,0622;34,3984;1,92;12,7551;0;180339,966;4,62;13,4;133;100
GF24;10;B;13/07/2024;06:50:00;60,893;-46,485;400;13,989;0,004;1,036;8,438;14,016;0,06;4,7114;9,44;8,07;-0,0592;34,463;2,04;12,7551;29,76190476;201536,2245;4,1;13,73;118;103
GF24;12;B;14/07/2024;07:04:00;60,923;-46,378;2;0,021;0;0,113;5,559;0,073;0,09;4,8065;10,91;;89,4091;20,7784;4,04;1271,2585;6271,258503;630167,8571;6,61;14,2;174;98
GF24;12;B;14/07/2024;07:04:00;60,923;-46,378;7;1,439;0,024;0,265;8,032;1,457;0,12;0,3003;12,47;;19,3328;28,6753;15,91;629,2517;4587,585034;549367,8571;7,91;14,47;193;88
GF24;12;B;14/07/2024;07:04:00;60,923;-46,378;11;6,749;0,043;0,597;8,687;6,741;0,3;0,1133;12,77;;7,9581;29,357;3,97;378,4014;2746,598639;272751,5306;7,09;15,2;173;92
GF24;12;B;14/07/2024;07:04:00;60,923;-46,378;60;0,47;0,006;0,451;1,275;0,508;1,04;-0,0814;11,69;;0,0785;31,7777;2,2;89,2857;4,25170068;262857,6531;5,9;15,47;146;94
GF24;12;B;14/07/2024;07:04:00;60,923;-46,378;110;7,831;0,074;0,838;4,512;7,788;0,7;-0,6751;10,55;;0,0259;32,2714;2,27;4,2517;4,25170068;171167,517;;;;
GF24;12;B;14/07/2024;07:04:00;60,923;-46,378;220;12,565;0,166;0,967;7,396;12,417;0,17;3,2547;9,14;;0,0118;34,009;2,29;25,5102;8,503401361;232265,6463;4,59;13,52;127;95
GF24;17;B;15/07/2024;07:42:00;60,525;-47,614;2;0;0;0,293;0,168;0;0,11;0,6742;12,57;;278,295;29,4934;1,88;144,5578;250,8503401;170927,0408;5,23;16,26;130;101
GF24;17;B;15/07/2024;07:42:00;60,525;-47,614;8;0;0;0,294;0,204;0;0,29;0,5218;12,74;;293,7072;29,589;2,38;131,8027;272,1088435;202772,9592;5,24;15,84;130;98
GF24;17;B;15/07/2024;07:42:00;60,525;-47,614;15;0;0;0,377;0;0;0,1;-0,0997;13,03;;173,4759;31,2127;3,32;289,1156;72,27891156;146656,1224;5;16,36;123;99
GF24;17;B;15/07/2024;07:42:00;60,525;-47,614;25;0,18;0;0,48;0,153;0,228;0,68;-0,44;13,04;;44,8297;31,3937;6,11;323,1293;89,28571429;135164,7959;5,71;16,54;139;99
GF24;17;B;15/07/2024;07:42:00;60,525;-47,614;35;1,058;0,02;0,563;0,9;1,081;1,29;-1,0021;12,77;;13,4405;31,6215;2,83;382,6531;72,27891156;199835,7143;5,61;16,04;134;94
GF24;17;B;15/07/2024;07:42:00;60,525;-47,614;40;2,402;0,048;0,638;2,556;2,394;1,56;-0,9656;12,63;;7,9685;31,6643;3,45;539,966;93,53741497;379986,7347;5,3;16,61;127;97
GF24;17;B;15/07/2024;07:42:00;60,525;-47,614;50;2,622;0,053;0,656;2,739;2,608;1,63;-0,9425;12,53;;3,1893;31,7135;3,14;369,898;68,02721088;376070,4082;5,64;16,85;136;99
GF24;17;B;15/07/2024;07:42:00;60,525;-47,614;60;3,051;0,06;0,669;3,18;3,03;1,64;-0,9384;12,39;;1,2701;31,8467;5,49;616,4966;106,292517;477791,8367;5,72;16,43;138;97
GF24;17;B;15/07/2024;07:42:00;60,525;-47,614;70;3,982;0,071;0,705;3,835;3,947;1,59;-0,9548;12,28;;0,5951;31,9692;3,86;318,8776;38,26530612;486964,2857;5,68;16,17;137;95
GF24;17;B;15/07/2024;07:42:00;60,525;-47,614;80;2,583;0,051;0,648;2,719;2,57;1,52;-0,9079;12,14;;0,2146;32,0673;2,88;488,9456;68,02721088;425488,2653;6,18;17,11;149;101
GF24;19;B;16/07/2024;06:51:00;60,691;-47,1595;3;0;0;0,192;0,921;0;0,11;2,6414;12;;25,2356;27,7967;5,32;807,8231;1658,163265;524117,8571;4,94;14,1;129;94
GF24;19;B;16/07/2024;06:51:00;60,691;-47,1595;5;0;0;0,299;0,474;0;0,32;1,3675;12,38;;18,2204;28,8964;3,55;174,3197;250,8503401;228177,551;7,55;15,74;191;100
