z6-11639;Port1;;;;;;;;;;;;;;;Port7;;Port8;
# Records: 5362;ATMOS 41 All-in-one Weather Station;;;;;;;;;;;;;;;Battery;;Barometer;
Timestamps; W/m² Solar Radiation; mm Precipitation; Lightning Activity; km Lightning Distance;° Wind Direction; m/s Wind Speed; m/s Gust Speed; °C Air Temperature; kPa Vapor Pressure; kPa Atmospheric Pressure;° X-axis Level;° Y-axis Level; mm/h Max Precip Rate; °C RH Sensor Temp; kPa VPD;% Battery Percent; mV Battery Voltage; kPa Reference Pressure; °C Logger Temperature
;;;;;;;;;;;;;;;;;;;
07/03/2024 12:20:00 AM;93,2;0;0;0;0;0,49;1,46;8;0,772;100,65;1,7;4,4;0;8,5;0,27;100;7944;100,71;14,4
07/03/2024 12:25:00 AM;110,2;0;0;0;29;0,39;0,85;7,8;0,764;100,65;1,9;5,6;0;8,6;0,25;100;7942;100,71;14
07/03/2024 12:30:00 AM;94;0;0;0;11;0,65;1,59;7,6;0,76;100,66;1,6;6,9;0;8,5;0,24;100;7934;100,72;13,5
07/03/2024 12:35:00 AM;97,4;0;0;0;337;1,34;2,24;7,1;0,748;100,67;2,2;6,1;0;8,4;0,21;100;7948;100,73;12,8
07/03/2024 12:40:00 AM;85,8;0;0;0;320;0,7;1,71;6,9;0,742;100,67;2,2;5,9;0;8,2;0,21;100;7948;100,74;11,9
07/03/2024 12:45:00 AM;132,8;0;0;0;107;0,6;0,92;6,9;0,74;100,68;2;5,9;0;8,1;0,21;100;7953;100,74;11,3
07/03/2024 12:50:00 AM;144;0;0;0;20;0,84;1,7;7,3;0,734;100,68;1,9;5,9;0;8,2;0,23;100;7952;100,74;11
07/03/2024 12:55:00 AM;127;0;0;0;239;1,07;1,63;7,1;0,73;100,69;1,6;6,1;0;8,2;0,21;100;7952;100,75;10,7
07/03/2024 01:00:00 AM;101,2;0;0;0;237;1;1,68;6,7;0,728;100,69;2,1;6;0;8,2;0,19;100;7956;100,75;10,4
07/03/2024 01:05:00 AM;90,8;0;0;0;233;0,72;1,17;7;0,728;100,69;2;6;0;8,1;0,2;100;7957;100,75;10
07/03/2024 01:10:00 AM;74,2;0;0;0;258;1,03;1,67;6,6;0,722;100,7;1,9;6;0;8;0,18;100;7954;100,76;9,7
07/03/2024 01:15:00 AM;70,4;0;0;0;267;1,46;2,3;6,4;0,72;100,71;2;5,9;0;7,9;0,17;100;7953;100,77;9,3
07/03/2024 01:20:00 AM;66,6;0;0;0;300;1,65;2,81;6,2;0,718;100,72;2,1;5,9;0;7,6;0,17;100;7952;100,78;8,8
07/03/2024 01:25:00 AM;61,8;0;0;0;291;0,57;1,02;6,7;0,714;100,73;2,1;5,8;0;7,4;0,21;100;7952;100,79;8,5
07/02/2024 10:30:00 PM;55;0;0;0;302;0,65;1,28;6,6;0,712;100,73;1,9;6,1;0;7,3;0,2;100;7948;100,79;8,2
07/02/2024 10:35:00 PM;37,4;0;0;0;246;0,68;1,19;6;0,712;100,74;1,9;6,2;0;7,2;0,17;100;7950;100,8;7,8
07/02/2024 10:40:00 PM;19;0;0;0;268;1,03;2,11;5,6;0,714;100,75;2,2;5,9;0;6,9;0,15;100;7949;100,81;7,4
07/02/2024 10:45:00 PM;17,4;0;0;0;309;0,4;0,83;5,9;0,71;100,75;2,2;6;0;6,5;0,18;100;7949;100,81;7,1
07/02/2024 10:50:00 PM;16;0;0;0;288;0,77;1,63;5,5;0,71;100,76;2,3;5,8;0;6,3;0,16;100;7947;100,82;6,7
07/02/2024 10:55:00 PM;14,2;0;0;0;317;0,94;1,5;5,2;0,706;100,77;2,2;5,8;0;5,9;0,15;100;7946;100,83;6,4
07/02/2024 11:00:00 PM;11,6;0;0;0;284;0,69;1,69;5,2;0,69;100,78;2,1;6,1;0;5,7;0,15;100;7947;100,84;6
07/02/2024 11:05:00 PM;8,8;0;0;0;313;0,82;1,73;5,1;0,692;100,79;2,3;6,2;0;5,4;0,15;100;7946;100,85;5,7
07/02/2024 11:10:00 PM;7,2;0;0;0;274;0,8;1,33;5,1;0,704;100,8;2,3;6;0;5,1;0,15;100;7947;100,86;5,4
07/02/2024 11:15:00 PM;6;0;0;0;298;0,52;0,82;5,1;0,806;100,8;2,2;5,9;0;5;0,15;100;7944;100,87;5,1
07/02/2024 11:20:00 PM;5;0;0;0;35;0,54;0,98;4,9;0,808;100,81;2,2;6;0;4,8;0,14;100;7941;100,88;4,9
07/02/2024 11:25:00 PM;4,4;0;0;0;91;0,66;1,67;4,8;0,71;100,81;2,2;6;0;4,6;0,14;100;7944;100,88;4,6
07/02/2024 11:30:00 PM;4;0;0;0;14;1,3;2,35;4,7;0,712;100,81;2,1;5,9;0;4,5;0,14;100;7941;100,88;4,4
07/02/2024 11:35:00 PM;3,2;0;0;0;8;1,03;1,81;4,7;0,802;100,82;2,1;5,9;0;4,4;0,14;100;7941;100,88;4,2
07/02/2024 11:40:00 PM;3;0;0;0;31;0,87;1,48;4,7;0,716;100,82;2,2;6;0;4,3;0,14;100;7943;100,89;4
07/02/2024 11:45:00 PM;2;0;0;0;55;0,84;2,29;4,5;0,8;100,82;2,1;5,7;0;4,2;0,13;100;7942;100,89;3,9
07/02/2024 11:50:00 PM;2;0;0;0;82;0,65;1,17;4,4;0,716;100,82;2,1;6,1;0;4,1;0,12;100;7941;100,89;3,7
07/02/2024 11:55:00 PM;1;0;0;0;81;0,67;1,22;4,3;0,788;100,83;2;5,9;0;4;0,12;100;7939;100,9;3,5
07/03/2024 12:00:00 AM;1;0;0;0;88;0,54;0,93;4,3;0,718;100,83;2,3;5,9;0;3,9;0,12;100;7940;100,9;3,4
07/03/2024 12:05:00 AM;1;0;0;0;174;1,02;1,66;3,8;0,79;100,82;2,1;5,9;0;3,8;0,09;100;7920;100,89;3,3
07/03/2024 12:10:00 AM;0;0;0;0;187;1,12;1,36;3,6;0,716;100,82;3;5,9;0;3,6;0,1;100;7932;100,89;3,1
07/03/2024 12:15:00 AM;0;0;0;0;285;0,91;2,77;3,9;0,794;100,83;2,2;6;0;3,4;0,11;100;7933;100,91;2,9
07/03/2024 12:20:00 AM;0;0;0;0;301;1,68;2,7;4;0,71;100,84;1,6;6;0;3,4;0,11;100;7935;100,91;2,8
07/03/2024 12:25:00 AM;0;0;0;0;259;1,01;2;4,1;0,796;100,85;2;5,9;0;3,4;0,11;100;7931;100,91;2,8
07/03/2024 12:30:00 AM;0;0;0;0;281;0,96;1,72;4;0,796;100,84;2;6,1;0;3,4;0,1;100;7935;100,91;2,7
07/03/2024 12:35:00 AM;0;0;0;0;284;1,11;2,31;4;0,704;100,84;2;6,2;0;3,5;0,1;100;7932;100,91;2,7
07/03/2024 12:40:00 AM;0;0;0;0;276;0,76;1,37;4,1;0,694;100,84;2,1;6,1;0;3,5;0,1;100;7932;100,91;2,6
07/03/2024 12:45:00 AM;0;0;0;0;290;0,7;1,74;4,1;0,798;100,84;2;6,1;0;3,4;0,1;100;7934;100,91;2,6
07/03/2024 12:50:00 AM;0;0;0;0;113;0,4;0,69;3,9;0,798;100,84;2;5,9;0;3,4;0,09;100;7933;100,91;2,5
07/03/2024 12:55:00 AM;0;0;0;0;154;0,77;1,55;3,6;0,69;100,84;2,7;6,1;0;3,3;0,08;100;7931;100,91;2,4
07/03/2024 01:00:00 AM;0;0;0;0;143;0,7;1,87;3,3;0,792;100,84;2,1;6;0;3,2;0,07;100;7932;100,91;2,2
07/03/2024 01:05:00 AM;0;0;0;0;106;0,41;1,03;3,3;0,696;100,84;2;6;0;3;0,08;100;7925;100,92;2,2
07/03/2024 01:10:00 AM;0;0;0;0;88;0,63;1,25;3,5;0,7;100,85;2;6;0;2,9;0,1;100;7928;100,92;2,1
07/03/2024 01:15:00 AM;0;0;0;0;89;0,69;1,15;3,6;0,784;100,85;2,2;6;0;2,9;0,09;100;7926;100,92;2,1
07/03/2024 01:20:00 AM;0;0;0;0;84;0,63;1,1;3,6;0,772;100,84;2,2;5,9;0;2,9;0,09;100;7927;100,92;2
07/03/2024 01:25:00 AM;0;0;0;0;151;0,44;0,85;3,2;0,694;100,85;2,2;5,9;0;2,8;0,08;100;7927;100,92;1,9
07/03/2024 01:30:00 AM;0;0;0;0;40;0,92;1,78;3,4;0,692;100,85;2,1;6;0;2,7;0,09;100;7927;100,93;1,7
07/03/2024 01:35:00 AM;0;0;0;0;1;1,17;2,55;3,4;0,692;100,86;2,1;6;0;2,7;0,09;100;7928;100,94;1,7
07/03/2024 01:40:00 AM;0;0;0;0;344;1,08;2,29;3,2;0,694;100,86;2,1;5,9;0;2,7;0,08;100;7926;100,94;1,7
07/03/2024 01:45:00 AM;0;0;0;0;34;0,65;1,13;3,2;0,7;100,87;2,1;6;0;2,7;0,07;100;7926;100,95;1,7
